Player Name,Rushing Yards,attempts,Touchdowns,20 plus yards,40 plus yards,Long,rushing 1st down,Rushing 1st % ,Fumbles
Saquon Barkley,2005,345,13,17,7,72,82,23.8,2
Derrick Henry,1921,325,16,19,5,87,93,28.6,3
Bijan Robinson,1456,304,14,5,0,37,82,27,1
Jonathan Taylor,1431,303,11,11,4,70,71,23.4,2
Jahmyr Gibbs,1412,250,16,13,3,70,70,28,0
Josh Jacobs,1329,301,15,7,0,38,73,24.2,4
Kyren Williams,1299,316,14,2,0,30,85,26.9,5
Chuba Hubbard,1195,250,10,8,0,38,62,24.8,1
Aaron Jones,1138,255,5,3,1,41,49,19.2,3
Bucky Irving,1122,207,8,8,3,56,52,25.1,2
James Conner,1094,236,8,6,2,53,66,28,2
Rico Dowdle,1079,235,2,2,0,27,53,22.6,3
Tony Pollard,1079,260,5,6,1,41,53,20.4,2
Najee Harris,1043,263,6,9,0,36,50,19,0
Joe Mixon,1016,245,11,8,2,59,52,21.2,0
James Cook,1009,207,16,6,4,65,48,23.2,1
Chase Brown,990,229,7,8,1,40,49,21.4,2
D'Andre Swift,959,253,6,5,1,56,43,17,1
Alvin Kamara,950,228,6,3,0,24,52,22.8,0
Lamar Jackson,915,139,4,8,1,48,47,33.8,6
De'Von Achane,907,203,6,5,3,61,37,18.2,0
J.K. Dobbins,905,195,9,6,3,61,47,24.1,0
Jayden Daniels,891,148,6,7,1,46,55,37.2,3
Breece Hall,876,209,5,3,1,42,40,19.1,5
Tyrone Tracy Jr.,839,192,5,6,2,45,39,20.3,2
